#options: 576x1024 fps=29/1 timebase=1/29 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1100149 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:0.00 aq:0.32 tex:1839830 mv:96463 misc:155 imb:2304 pmb:0 smb:0 d:- ref:;
in:87 out:87 type:P dur:2 cpbdur:2 q:0.00 aq:0.23 tex:1165265 mv:24703 misc:264 imb:755 pmb:1547 smb:2 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:0.00 aq:0.32 tex:1072821 mv:22726 misc:293 imb:597 pmb:1702 smb:5 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:0.00 aq:0.20 tex:1353728 mv:24444 misc:292 imb:1042 pmb:1258 smb:4 d:- ref:0 ;
in:91 out:90 type:P dur:2 cpbdur:2 q:0.00 aq:0.11 tex:1513250 mv:25207 misc:303 imb:1056 pmb:1246 smb:2 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:0.00 aq:0.52 tex:843485 mv:22741 misc:518 imb:218 pmb:2021 smb:65 d:- ref:0 ;
in:93 out:92 type:P dur:2 cpbdur:2 q:0.00 aq:0.18 tex:1393546 mv:25017 misc:309 imb:748 pmb:1548 smb:8 d:- ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:0.00 aq:0.55 tex:805576 mv:21578 misc:582 imb:142 pmb:2085 smb:77 d:- ref:0 ;
in:97 out:94 type:P dur:2 cpbdur:2 q:0.00 aq:0.43 tex:1474025 mv:24351 misc:320 imb:801 pmb:1495 smb:8 d:- ref:0 ;
in:95 out:95 type:B dur:2 cpbdur:2 q:0.00 aq:0.37 tex:927976 mv:22400 misc:704 imb:79 pmb:2116 smb:109 d:- ref:0 ;
in:94 out:96 type:b dur:2 cpbdur:2 q:0.00 aq:0.57 tex:665807 mv:16372 misc:613 imb:26 pmb:2176 smb:102 d:- ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:0.00 aq:0.60 tex:745790 mv:17944 misc:770 imb:25 pmb:2131 smb:148 d:- ref:0 ;
in:101 out:98 type:P dur:2 cpbdur:2 q:0.00 aq:0.07 tex:1336173 mv:23014 misc:397 imb:485 pmb:1800 smb:19 d:- ref:0 ;
in:99 out:99 type:B dur:2 cpbdur:2 q:0.00 aq:0.32 tex:865602 mv:19948 misc:714 imb:72 pmb:2117 smb:115 d:- ref:0 ;
in:98 out:100 type:b dur:2 cpbdur:2 q:0.00 aq:0.63 tex:618959 mv:15179 misc:798 imb:20 pmb:2138 smb:146 d:- ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:0.00 aq:0.62 tex:770183 mv:17782 misc:467 imb:18 pmb:2237 smb:49 d:- ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:0.00 aq:0.07 tex:1511199 mv:23910 misc:315 imb:795 pmb:1505 smb:4 d:- ref:0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:0.00 aq:0.30 tex:972565 mv:23523 misc:616 imb:81 pmb:2123 smb:100 d:- ref:0 ;
in:102 out:104 type:b dur:2 cpbdur:2 q:0.00 aq:0.63 tex:749725 mv:16940 misc:767 imb:27 pmb:2125 smb:152 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:0.00 aq:0.60 tex:699071 mv:17107 misc:806 imb:23 pmb:2120 smb:161 d:- ref:0 ;
in:107 out:106 type:P dur:2 cpbdur:2 q:0.00 aq:0.13 tex:1223239 mv:19688 misc:313 imb:450 pmb:1849 smb:5 d:- ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:0.00 aq:0.67 tex:605253 mv:14473 misc:802 imb:26 pmb:2111 smb:167 d:- ref:0 ;
in:109 out:108 type:P dur:2 cpbdur:2 q:0.00 aq:0.26 tex:1393487 mv:20384 misc:321 imb:405 pmb:1890 smb:9 d:- ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:0.00 aq:0.60 tex:672430 mv:15589 misc:541 imb:19 pmb:2219 smb:66 d:- ref:0 ;
in:113 out:110 type:P dur:2 cpbdur:2 q:0.00 aq:0.13 tex:1442417 mv:23867 misc:348 imb:643 pmb:1655 smb:6 d:- ref:0 w:6,63,3,0,1,1,1,0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:0.00 aq:0.31 tex:1006303 mv:24500 misc:581 imb:92 pmb:2144 smb:68 d:- ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:0.00 aq:0.61 tex:815372 mv:19612 misc:632 imb:60 pmb:2146 smb:98 d:- ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:0.00 aq:0.61 tex:650188 mv:14366 misc:670 imb:16 pmb:2166 smb:122 d:- ref:0 ;
in:117 out:114 type:P dur:2 cpbdur:2 q:0.00 aq:0.15 tex:1537977 mv:23375 misc:312 imb:801 pmb:1495 smb:8 d:- ref:0 ;
in:115 out:115 type:B dur:2 cpbdur:2 q:0.00 aq:0.37 tex:1070098 mv:24969 misc:621 imb:118 pmb:2107 smb:79 d:- ref:0 ;
in:114 out:116 type:b dur:2 cpbdur:2 q:0.00 aq:0.60 tex:754627 mv:17185 misc:812 imb:32 pmb:2136 smb:136 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:0.00 aq:0.60 tex:856635 mv:17692 misc:601 imb:29 pmb:2201 smb:74 d:- ref:0 ;
in:119 out:118 type:P dur:2 cpbdur:2 q:0.00 aq:0.18 tex:1681531 mv:22525 misc:328 imb:1006 pmb:1296 smb:2 d:- ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:0.00 aq:0.55 tex:870584 mv:20904 misc:584 imb:124 pmb:2107 smb:73 d:- ref:0 ;
in:121 out:120 type:P dur:2 cpbdur:2 q:0.00 aq:0.44 tex:1550972 mv:22649 misc:315 imb:839 pmb:1461 smb:4 d:- ref:0 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:0.00 aq:0.65 tex:857334 mv:20733 misc:597 imb:73 pmb:2152 smb:79 d:- ref:0 ;
